expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
G	G-RML-ZH3	GG1	GG	RML	no treatment	NA	NA	RML	#E66101	1	1
G	G-RML-ZH3	GG2	GG	RML	no treatment	NA	NA	RML	#E66101	1	1
G	G-RML-ZH3	GG3	GG	RML	no treatment	NA	NA	RML	#E66101	1	1
G	G-ME7-ZH3	GH1	GH	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-ME7-ZH3	GH2	GH	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-ME7-ZH3	GH3	GH	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-ME7-ZH3	GH4	GH	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-ME7-ZH3	GI1	GI	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-ME7-ZH3	GI2	GI	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-ME7-ZH3	GI3	GI	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-ME7-ZH3	GI4	GI	ME7	no treatment	NA	NA	ME7	#E66101	1	4
G	G-Fu1-ZH3	GJ1	GJ	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-Fu1-ZH3	GJ2	GJ	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-Fu1-ZH3	GJ3	GJ	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-Fu1-ZH3	GK1	GK	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-Fu1-ZH3	GK2	GK	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-Fu1-ZH3	GK3	GK	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-Fu1-ZH3	GK4	GK	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-Fu1-ZH3	GK5	GK	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#E66101	1	3
G	G-OSU-WT	GL1	GL	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-OSU-WT	GL2	GL	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-OSU-WT	GL3	GL	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-OSU-WT	GL4	GL	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-OSU-WT	GM1	GM	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-OSU-WT	GM2	GM	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-OSU-WT	GM3	GM	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-OSU-WT	GM4	GM	OSU	no treatment	NA	NA	OSU	#000000	1	5
G	G-22L-WT	GN1	GN	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-22L-WT	GN2	GN	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-22L-WT	GN3	GN	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-22L-WT	GN4	GN	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-22L-WT	GO1	GO	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-22L-WT	GO2	GO	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-22L-WT	GO3	GO	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-22L-WT	GO4	GO	22L	no treatment	NA	NA	22L	#000000	1	2
G	G-RML-WT	GP1	GP	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-RML-WT	GP2	GP	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-RML-WT	GP3	GP	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-RML-WT	GP4	GP	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-RML-WT	GQ1	GQ	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-RML-WT	GQ2	GQ	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-RML-WT	GQ3	GQ	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-RML-WT	GQ4	GQ	RML	no treatment	NA	NA	RML	#000000	1	1
G	G-ME7-WT	GR1	GR	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-ME7-WT	GR2	GR	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-ME7-WT	GR3	GR	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-ME7-WT	GR4	GR	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-ME7-WT	GS1	GS	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-ME7-WT	GS2	GS	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-ME7-WT	GS3	GS	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-ME7-WT	GS4	GS	ME7	no treatment	NA	NA	ME7	#000000	1	4
G	G-Fu1-WT	GT1	GT	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
G	G-Fu1-WT	GT2	GT	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
G	G-Fu1-WT	GT3	GT	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
G	G-Fu1-WT	GT4	GT	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
G	G-Fu1-WT	GU1	GU	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
G	G-Fu1-WT	GU2	GU	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
G	G-Fu1-WT	GU3	GU	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
G	G-Fu1-WT	GU4	GU	Fukuoka-1	no treatment	NA	NA	Fukuoka-1	#000000	1	3
P	d120-MOE-PBS	PA1	PA	RML	saline	0	119	saline	#7C7C7C	1	1
P	d120-MOE-PBS	PA2	PA	RML	saline	0	119	saline	#7C7C7C	1	1
P	d120-MOE-PBS	PA3	PA	RML	saline	0	119	saline	#7C7C7C	1	1
P	d120-MOE-PBS	PA4	PA	RML	saline	0	119	saline	#7C7C7C	1	1
P	path-RML	PB1	PB	RML	no treatment	0	NA			NA	NA
P	d120-MOE-sack	PB2	PB	RML	no treatment	0	NA			NA	NA
P	d120-MOE-sack	PB3	PB	RML	no treatment	0	NA			NA	NA
P	d120-MOE-sack	PB4	PB	RML	no treatment	0	NA			NA	NA
P	d120-MOE-CONTROL4	PC1	PC	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-CONTROL4	PC2	PC	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-CONTROL4	PC3	PC	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-CONTROL4	PC4	PC	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-ACTIVE5	PD1	PD	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE5	PD2	PD	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE5	PD3	PK	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE5	PD4	PD	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE6	PE1	PE	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
